name,min_amt,max_amt,min_term,max_term,min_interest,min_net_interest,feature1,feature2,fee_study,fee_openning,fee_cancellation
prestamo_younited_credit,1.000€,40.000€,2 años,6 años,"6,08%","5,92%",Hasta 6 años,Préstamo sin aval,0%,2%,0%
prestamo_naranja,6.000€,60.000€,1 año,7 años,"6,11%","5,95%",Hasta 7 años,Sin comisiones,0%,2%,0%
prestamo_cetelem,6.000€,60.000€,1 año,8 años,"6,12%","5,95%",Hasta 8 años,Sin comisiones y sin cambiar de banco,0%,2%,0%
prestamo_personal_evo_finance,6.000€,30.000€,1 año,8 años,"7,23%","7,00%",Hasta 8 años,Sin comisiones,0%,2%,0%
credito_auto,3.000€,60.000€,1 año y 6 meses,8 años,"7,55%","6,75%",Hasta 8 años,Sin comisión de estudio,0%,2%,0%
prestamo_ahora_tu,5.000€,60.000€,0 días,10 años,"7,57%","6,50%",Hasta 10 años,"Sin comisión de apertura, estudio y amortización o cancelación anticipada",0%,2%,0%
prestamo_evo,3.000€,50.000€,1 año,8 años,"9,27%","8,45%",Hasta 8 años,Cuotas de devolución personalizadas,0%,2%,0%
prestamo_expansion_sabadell,3.000€,60.000€,1 año y 6 meses,8 años,"11,30%","8,75%",Hasta 8 años,Para clientes de la entidad,0%,2%,0%
prestamo_con_garantia_hipotecaria,6.000€,150.000€,6 meses,15 años,"11,55%","8,95%",Hasta 15 años,Sin comisión de formalización,0%,2%,0%
prestamo_hipotecario_suizainvest,5.000€,300.000€,6 meses,15 años,"12,68%","8,95%",Hasta 15 años,Sin comisión de estudio,0%,2%,0%
credito_gedescoche,800€,10.000€,90 días,10 años,15%,13%,Hasta 10 años,Permite ASNEF,0%,2%,0%
credito_iwoca,500€,50.000€,30 días,6 meses,"3,50%","3,50%",Hasta 6 meses,Sin comisiones,0%,2%,0%
prestamo_verde,2.000€,15.000€,1 año,6 años,"4,06%","3,99%",Hasta 6 años,Dirigido a proyectos para el cuidado del medio ambiente,0%,2%,0%
prestamo_personal_bankinter,3.000€,90.000€,1 año,8 años,"5,06%","4,95%",Hasta 8 años,Contratación online,0%,2%,0%
credito_proyecto_estudios_cofidis,4.000€,15.000€,1 año,4 años,"5,07%","4,95%",Hasta 4 años,Sin comisiones,0%,2%,0%
prestamo_coche,10.000€,75.000€,5 años,10 años,"5,77%",5%,Hasta 10 años,Ventajas adicionales por vinculación,0%,2%,0%
