name;min amt;max amt;min term;max term;goal;min interest;min net interest;feature1;feature2;fee study;fee openning;fee cancellation;image source;Url
crediclaro;100 €;800 €;7 días;30 días;Indefinido;485%;a consultar;Hasta 30 días;Minicrédito que mejor se adapte a tus necesidades;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/crediclaro.png;https://www.crediclaro.es
credito auto;3.000 €;60.000 €;1 año y 6 meses;8 años;Coche;7,55%;6,75%;Hasta 8 años;Sin comisión de estudio;0%;2%;1%; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco sabadell.png;www.cetelem.es/Préstamo/Online
credito flexible linea de credito;100 €;1.000 €;0 días;0 días;Indefinido;8,50%;8,50%;Hasta 0 días;Permite elegir la cuota y el plazo;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/ferratum bank.png;www.creditosrapidos365.com
credito gedescoche;800 €;10.000 €;90 días;10 años;Indefinido;15%;13%;Hasta 10 años;Permite ASNEF;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/gedescoche.png;www.dinero.gedescoche.es/dinero/coche
credito iwoca;500 €;50.000 €;30 días;6 meses;Otro;3,50%;3,50%;Hasta 6 meses;Sin comisiones;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/iwoca.png;www.solcredito.es/credito/al-instante
credito joven;1.000 €;30.000 €;0 días;5 años;Proyectos;9,38%;9,00%;Hasta 5 años;Flexibilidad en el pago;0%;0%;a consultar; https://github.com/bielrv/scraping-jupyter/blob/master/images/bankia.png;www.solcredito.es/credito/al-instante
credito monedo now;750 €;5.000 €;6 meses;3 años;Indefinido;60,10%;12,00%;Hasta 3 años;Flexibilidad en el pago;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/monedo.png;www.creditosrapidos365.com/
credito proyecto estudios cofidis;4.000 €;15.000 €;1 año;4 años;Estudios;5,07%;4,95%;Hasta 4 años;Sin comisiones;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/cofidis.png;www.cofidis.es/credito/proyecto
credito proyecto moto cofidis;4.000 €;15.000 €;1 año;6 años;Moto;7,17%;6,95%;Hasta 6 años;Sin comisiones de estudio ni de apertura;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/cofidis.png;www.cofidis.es/credito/proyecto
credito puedes mas;0 €;60.000 €;0 días;8 años;Reforma, coche, estudios y viajes.;11,99%;10,50%;Hasta 8 años;Interés fijo o variable;a consultar;2%;a consultar; https://github.com/bielrv/scraping-jupyter/blob/master/images/bankia.png;www.bankia.es
credito sostenible;0 €;60.000 €;0 días;8 años;Consumo eficiente;6,17%;6%;Hasta 8 años;Sin comisión de apertura;a consultar;0%;a consultar; https://github.com/bielrv/scraping-jupyter/blob/master/images/bankia.png;www.bankia.es
creditsor;a consultar;a consultar;a consultar;a consultar;Indefinida;a consultar;15%;Hasta 30 días;Servicio gratuito y sin compromiso;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/creditsor.png;www.bolsillolleno.com
linea de credito;100 €;3.000 €;60 días;3 años;Indefinido;42,41%;2,99%;Hasta 3 años;Sin comisión de apertura;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/creditea.png;www.financiacion.gedesco.es/lineadeCredito/lineadescuento
